start:id	end:id	RELTYPE	COUNT	DISTANCE
6	8578	INHIBITS	2	6015.5
6	7384	INHIBITS	3	45354.0
6	5425	INHIBITS	2	7545.000000000001
6	1547	INHIBITS	2	62625.99999999999
6	506	INHIBITS	4	6211.75
6	500	INHIBITS	13	2291.3076923076924
6	52	INHIBITS	12	163.33333333333334
67694	6	INHIBITS	2	804.5
54277	6	INHIBITS	2	4087.0
16628	6	INHIBITS	2	3198.5
6	1296022	INTERACTS_WITH	2	42706.0
6	28682	INTERACTS_WITH	2	666.5
6	22453	INTERACTS_WITH	2	7405.5
6	19476	INTERACTS_WITH	2	34008.5
6	17746	INTERACTS_WITH	2	145838.5
6	16629	INTERACTS_WITH	2	5559.5
6	16628	INTERACTS_WITH	4	1598.25
6	15909	INTERACTS_WITH	2	1816.5
6	13189	INTERACTS_WITH	2	13866.0
6	11604	INTERACTS_WITH	2	12554.0
6	11253	INTERACTS_WITH	2	45508.0
6	9471	INTERACTS_WITH	4	4484.0
6	9177	INTERACTS_WITH	3	40392.0
6	8578	INTERACTS_WITH	3	4009.666666666667
6	6332	INTERACTS_WITH	4	8269.25
6	3431	INTERACTS_WITH	3	3895.6666666666665
6	2585	INTERACTS_WITH	2	4777.0
6	531	INTERACTS_WITH	5	5143.2
6	506	INTERACTS_WITH	4	6211.75
6	500	INTERACTS_WITH	4	7451.250000000001
16629	6	INTERACTS_WITH	5	2222.6
16628	6	INTERACTS_WITH	4	1598.25
9471	6	INTERACTS_WITH	2	8970.0
3431	6	INTERACTS_WITH	2	5844.5
506	6	INTERACTS_WITH	4	6211.75
6	133813	ISA	4	1566.0
6	22947	ISA	5	350.8
6	21119	ISA	12	1173.75
6	16628	ISA	357	15.929971988795518
6	6682	ISA	4	127875.50000000001
6	3257	ISA	10	1649.0
710159	6	LOCATION_OF	3	2238.6666666666665
464219	6	LOCATION_OF	2	3505.0000000000005
415927	6	LOCATION_OF	2	3104.0
415267	6	LOCATION_OF	3	8291.333333333334
110855	6	LOCATION_OF	5	5561.0
54184	6	LOCATION_OF	2	5840.5
21397	6	LOCATION_OF	2	120473.5
18332	6	LOCATION_OF	3	472030.0
15696	6	LOCATION_OF	2	25039.0
15099	6	LOCATION_OF	8	5289.25
13559	6	LOCATION_OF	2	3366.0000000000005
13211	6	LOCATION_OF	2	30754.999999999996
12983	6	LOCATION_OF	2	11798.5
11548	6	LOCATION_OF	4	3640.0
9710	6	LOCATION_OF	4	47587.75
8248	6	LOCATION_OF	4	27438.5
7464	6	LOCATION_OF	3	29387.666666666668
3800	6	LOCATION_OF	34	30591.970588235294
2992	6	LOCATION_OF	3	174020.0
6	16628	NEG_COEXISTS_WITH	2	3198.5
506	6	NEG_COEXISTS_WITH	2	12425.500000000002
6	815529	PREVENTS	2	55189.0
6	1299764	STIMULATES	2	672.5
6	1296075	STIMULATES	8	554.5
6	1296022	STIMULATES	5	17081.2
6	1295737	STIMULATES	2	646.5
6	133072	STIMULATES	3	6724.666666666666
6	113899	STIMULATES	2	646.0
6	69146	STIMULATES	2	2940.5
6	22516	STIMULATES	2	10134.0
6	17746	STIMULATES	2	145838.5
6	17729	STIMULATES	3	7125.333333333333
6	17657	STIMULATES	2	13010.0
6	17567	STIMULATES	2	20981.5
6	16629	STIMULATES	3	3705.666666666667
6	15775	STIMULATES	2	10152.5
6	11844	STIMULATES	3	5221.666666666667
6	11604	STIMULATES	2	12554.0
6	11253	STIMULATES	2	45508.0
6	9471	STIMULATES	7	2561.4285714285716
6	9177	STIMULATES	7	17309.714285714286
6	8578	STIMULATES	4	3006.75
6	5425	STIMULATES	10	1507.3999999999999
6	4248	STIMULATES	2	1915.5
6	4146	STIMULATES	3	4401.333333333333
6	3126	STIMULATES	2	11661.0
6	1190	STIMULATES	2	3580.5
6	531	STIMULATES	13	1976.923076923077
6	513	STIMULATES	2	853.0
6	506	STIMULATES	23	1078.6521739130435
6	304	STIMULATES	3	12789.000000000002
19476	6	STIMULATES	2	34008.5
9177	6	STIMULATES	2	60589.0
8578	6	STIMULATES	6	2003.8333333333335
5202	6	STIMULATES	2	8082.0
109	6	STIMULATES	2	931.4999999999999
6	269113	TREATS	2	33097.5
6	54924	TREATS	2	47104.5
6	18342	TREATS	2	16469.5
